item_id,bucket,wins,losses,matches,players,avg_buy_time_s,avg_sell_time_s,avg_buy_time_relative,avg_sell_time_relative,hero_id,matches_per_player,win_rate,sell_minus_buy_s,hero_name,item_name,type
668299740,0,232112,242988,475100,156473,291.1362471058724,734.765233945117,12.98652175747978,32.120280487503685,1,3.0363065832443934,0.4885539886339718,443.62898683924453,Infernus,Rapid Rounds,upgrade
673001892,0,2116,2204,4320,3672,2571.983333333333,2799.26875,86.74473369279174,88.35574452483299,1,1.1764705882352942,0.4898148148148148,227.28541666666706,Infernus,Armor Piercing Rounds,upgrade
677738769,0,673,800,1473,1220,2647.3272233537,3136.593220338983,88.76269448981272,92.91749096402486,1,1.207377049180328,0.45689069925322473,489.265996985283,Infernus,Refresher,upgrade
690458959,0,324,467,791,645,1603.1554993678888,2431.4868421052633,64.35941493403169,82.39935529988298,1,1.2263565891472867,0.40960809102402024,828.3313427373746,Infernus,Express Shot,upgrade
709540378,0,1848,2493,4341,2458,810.4773093757199,2195.377672209026,35.84144502302854,83.17649387509788,1,1.7660699755899105,0.4257083621285418,1384.9003628333062,Infernus,Cultist Sacrifice,upgrade
710436191,0,7415,6345,13760,8357,2027.0917151162791,2698.8837209302324,77.23226856803674,87.33135254337637,1,1.6465238722029436,0.5388808139534884,671.7920058139532,Infernus,Capacitor,upgrade
754480263,0,9678,8677,18355,9711,1053.3148460909833,1638.5544915025628,45.113462241646914,68.06384440894809,1,1.8901246009679744,0.5272677744483791,585.2396454115794,Infernus,Mystic Expansion,upgrade
787198704,0,184896,171460,356356,124453,1198.2681616136672,2434.7119782214154,51.68992194058458,83.7091431839135,1,2.8633781427526857,0.5188519345822716,1236.4438166077482,Infernus,Rapid Recharge,upgrade
800008313,0,324,335,659,484,1764.0971168437027,2232.6279069767443,70.17222274001578,83.04987244115092,1,1.3615702479338843,0.49165402124430957,468.5307901330416,Infernus,Crushing Fists,upgrade
805079544,0,9770,10394,20164,10975,863.2058123388217,2063.938448275862,38.55789044829042,79.21564832530322,1,1.837266514806378,0.48452687958738344,1200.7326359370402,Infernus,Weapon Shielding,upgrade
811521119,0,7561,7583,15144,8259,1512.0762017960908,1869.2997373604728,62.75044665144435,74.60315595895665,1,1.8336360334180895,0.49927363972530375,357.223535564382,Infernus,Tesla Bullets,upgrade
857669956,0,723,672,1395,1208,1769.2164874551972,2072.115627822945,69.48724619040176,79.28623855762665,1,1.1548013245033113,0.5182795698924731,302.8991403677478,Infernus,Guardian Ward,upgrade
865846625,0,93108,79777,172885,79714,1960.0431385024726,2112.494375703037,77.43072094241609,84.12027779980649,1,2.168816017261711,0.5385545304682303,152.45123720056426,Infernus,Leech,upgrade
865958998,0,1458,1239,2697,1495,1280.8383388950685,2325.6585365853657,54.95415478733094,82.10353270517192,1,1.8040133779264214,0.5406006674082313,1044.8201976902972,Infernus,Veil Walker,upgrade
876563814,0,304843,306847,611690,185518,759.1315453906391,1635.9291701111872,33.84658689307094,69.42169624240168,1,3.2972002716717514,0.4983619153492782,876.7976247205481,Infernus,Spirit Lifesteal,upgrade
915014646,0,9725,8067,17792,11192,2220.3444244604316,2421.0494186046512,81.68247930225775,87.37879770691143,1,1.5897069335239458,0.5465939748201439,200.70499414421965,Infernus,Transcendent Cooldown,upgrade
951866250,0,35758,29940,65698,37453,2169.9889494352947,2470.220213640099,81.47686187702912,87.62746777401904,1,1.754145195311457,0.5442783646381929,300.2312642048041,Infernus,Indomitable,upgrade
968099481,0,246155,254118,500273,161858,230.1727696677614,441.274461837557,10.292822697108043,19.708050575503478,1,3.0908141704456993,0.49204134542539774,211.1016921697956,Infernus,Extra Spirit,upgrade
989206714,0,583,577,1160,857,1735.2568965517241,2190.0,70.5044340631493,77.10881975155876,1,1.353558926487748,0.5025862068965518,454.74310344827586,Infernus,Blood Tribute,upgrade
1009965641,0,5207,6411,11618,6674,398.4380271991737,1302.1886531365315,17.864822602731095,54.50764024912048,1,1.740785136350015,0.44818385264245136,903.7506259373578,Infernus,Monster Rounds,upgrade
1047818222,0,21214,20836,42050,24842,1794.9629013079666,2123.3401072725455,72.06446507968536,81.74051948845658,1,1.6926978504146204,0.5044946492271106,328.37720596457893,Infernus,Debuff Reducer,upgrade
1055679805,0,799,763,1562,1174,2302.339308578745,2644.4504504504503,81.56670271700627,86.36545133819362,1,1.3304940374787053,0.5115236875800256,342.11114187170506,Infernus,Vampiric Burst,upgrade
1102081447,0,17331,15243,32574,16639,1188.195124946276,2326.1099469315554,51.100124492983454,83.0659656640315,1,1.9576897650099165,0.5320501013077915,1137.9148219852793,Infernus,Mystic Slow,upgrade
1113837674,0,16673,13287,29960,20112,2424.4817757009346,2624.110447761194,85.60444843414373,89.03025019361793,1,1.4896579156722354,0.5565086782376502,199.6286720602593,Infernus,Silencer,upgrade
1144549437,0,78038,79306,157344,70262,1148.381927496441,1548.1327637341794,49.97106555517995,64.70776471285897,1,2.2393897127892743,0.4959706121618873,399.75083623773844,Infernus,Spirit Shredder Bullets,upgrade
1150006784,0,1424,1447,2871,1498,964.8746081504702,2350.731764705882,42.18205592895173,82.81059721031477,1,1.916555407209613,0.4959944270289098,1385.857156555412,Infernus,Arcane Surge,upgrade
1152158042,0,317,297,614,531,2415.1807817589574,2774.021739130435,85.4454203067502,88.78258731682995,1,1.1563088512241055,0.5162866449511401,358.84095737147754,Infernus,Vortex Web,upgrade
1193964439,0,10296,8636,18932,10324,1700.1645362349461,2518.2168874172185,69.82187420788729,85.53585025548797,1,1.8337853545137544,0.5438411155715192,818.0523511822723,Infernus,Greater Expansion,upgrade
1219329868,0,1100,1163,2263,1527,1221.1551038444543,1933.0507084265473,51.054996061246285,75.93630995601762,1,1.4819908316961363,0.48608042421564296,711.895604582093,Infernus,Spirit Sap,upgrade
1235347618,0,3571,4470,8041,5342,1063.6159681631639,2161.130264871906,45.67106290610076,80.41111164578346,1,1.50524148259079,0.44409899266260416,1097.5142967087422,Infernus,Battle Vest,upgrade
1250307611,0,39373,33680,73053,42734,2284.8457695098077,2565.2977461447213,83.78183233545863,88.9417464582961,1,1.7094819113586373,0.538964861128222,280.45197663491354,Infernus,Juggernaut,upgrade
1252627263,0,331,373,704,529,1362.2201704545455,2219.883116883117,57.36358627531843,79.77469538343512,1,1.330812854442344,0.47017045454545453,857.6629464285716,Infernus,Lifestrike,upgrade
1254091416,0,3873,5732,9605,7496,1696.1851119208745,2557.6688829787236,67.54619052053441,85.61205049160387,1,1.281350053361793,0.4032274856845393,861.483771057849,Infernus,Knockdown,upgrade
1282141666,0,2571,2396,4967,3631,2379.0821421381115,2664.9349112426034,84.00431141383221,87.30741631524828,1,1.3679427155053705,0.5176162673646064,285.8527691044919,Infernus,Siphon Bullets,upgrade
1292979587,0,4337,4452,8789,4426,1396.6965525088178,2480.5465465465463,57.42620631209711,81.74801610959425,1,1.9857659286037055,0.4934577312549778,1083.8499940377285,Infernus,Surge of Power,upgrade
1342610602,0,1126,1325,2451,1773,645.2872297021623,1383.1184909670562,28.354688905846118,57.25266261224818,1,1.3824027072758038,0.4594043247654019,737.8312612648939,Infernus,Close Quarters,upgrade
1371725689,0,1128,990,2118,1676,2076.9211520302174,2479.478723404255,79.98545629960265,88.14279236319923,1,1.2637231503579953,0.5325779036827195,402.5575713740377,Infernus,Phantom Strike,upgrade
1378931225,0,11830,17075,28905,20274,1794.329700743816,2377.4941416199695,73.1733220121256,83.38985635125783,1,1.4257176679490973,0.40927175229199103,583.1644408761535,Infernus,Metal Skin,upgrade
1396247347,0,2103,1885,3988,3251,2647.5639418254764,2696.6611570247933,86.69700249817362,84.8068495918246,1,1.226699477083974,0.5273319959879639,49.097215199316906,Infernus,Lucky Shot,upgrade
1409190604,0,251,377,628,554,1686.2675159235669,2115.777777777778,68.32047469447035,79.89914468372397,1,1.1335740072202165,0.3996815286624204,429.51026185421097,Infernus,Fury Trance,upgrade
1414025773,0,27763,29969,57732,31948,1505.5212533776762,2270.1946629213485,64.2596751554932,80.7178963178192,1,1.807061474896707,0.4808944779325158,764.6734095436723,Infernus,Counterspell,upgrade
1414319208,0,102,93,195,146,1872.297435897436,2295.6315789473683,72.96269650692437,77.45919696122318,1,1.3356164383561644,0.5230769230769231,423.33414304993244,Infernus,Berserker,upgrade
1427630806,0,13448,10323,23771,12650,2098.593496276976,2373.529865125241,81.12934412847319,87.38608071859159,1,1.8791304347826088,0.5657313533296874,274.9363688482649,Infernus,Healing Tempo,upgrade
1437614329,0,424,484,908,695,580.6729074889868,1242.1691078561917,26.188870404659024,53.34275527560303,1,1.306474820143885,0.4669603524229075,661.4962003672049,Infernus,Melee Lifesteal,upgrade
1439347412,0,37905,33378,71283,29396,686.9610426048287,1205.1206396011612,30.40101606565097,52.32689401615788,1,2.4249217580623212,0.5317537140692732,518.1595969963325,Infernus,Mystic Regeneration,upgrade
1548066885,0,248852,255140,503992,158956,352.4123994031651,748.3585748367323,15.762929135738668,33.13821052391706,1,3.1706384156621956,0.4937618057429483,395.94617543356713,Infernus,Extended Magazine,upgrade
1644605047,0,32846,32196,65042,33565,1397.5164355339627,2036.4785205897306,58.08651804541708,79.50995633905846,1,1.9377923432146582,0.5049967713169952,638.9620850557678,Infernus,Reactive Barrier,upgrade
1662311306,0,1491,1219,2710,2303,2338.2605166051662,2602.2323232323233,83.50324596955512,87.27635987935388,1,1.1767260095527572,0.5501845018450184,263.9718066271571,Infernus,Divine Barrier,upgrade
1672893796,0,39910,38756,78666,37322,778.3449012279765,1110.209243562662,32.845195893412765,47.225013528864515,1,2.1077648571887893,0.5073348079221011,331.8643423346856,Infernus,Grit,upgrade
1710079648,0,16011,16980,32991,18627,335.2402776514807,1568.1223472806942,14.879066628875934,64.99247726016034,1,1.7711386696730553,0.4853141765936164,1232.8820696292134,Infernus,Healing Rite,upgrade
1763073141,0,874,1001,1875,1257,1125.3424,2197.6045845272206,48.83759854780739,79.51808083859686,1,1.4916467780429594,0.46613333333333334,1072.2621845272206,Infernus,Recharging Rush,upgrade
1770441818,0,4177,3638,7815,5323,1875.8318618042226,2226.4814075820786,72.58503333119218,82.61835199752223,1,1.468157054292692,0.5344849648112604,350.649545777856,Infernus,Weakening Headshot,upgrade
